Sigla_Distribuidora,Estado,Grupo_Distribuidora,Grupo_Empresarial,Resumo temas,VlrPenalidade,NumAutoInfracao,Flag_Distribuidora,VlrMercado,DscTipoPenalidade,AnoLavratura,VlrMultaAposJuizo
Energisa MS,MS,Energisa,Energisa,Qualidade,813956.38,0001/2019-AGEPAN-SFE,Distribuidora,1168540, Multa,2019,0.0
Energisa MT,MT,Energisa,Energisa,Comercial,1236140.25,0001/2019-AGER/ MT-SFE,Distribuidora,1713620, Advertência / Multa,2019,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,73220.98,0001/2019-AGER/ MT-SFG,Não Distribuidora,, Multa,2019,73220.98
CEEE Equatorial,RS,Equatorial,Equatorial,Qualidade,1148082.21,0001/2019-AGERGS-SFE,Distribuidora,1992072, Multa,2019,263423.97
,SP,CPFL,CPFL,1.02.05 - Procedimento Segurança de Barragens,16357.67,0001/2019-AGERGS-SFG,Não Distribuidora,, Multa,2019,0.0
Equatorial GO,GO,Equatorial,Equatorial,Técnica,7915238.22,0001/2019-AGR-SFE,Distribuidora,3508696, Multa,2019,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,102605.15,0001/2019-AGR-SFG,Não Distribuidora,, Multa,2019,0.0
Enel CE,CE,Enel,Enel,Comercial,959585.18,0001/2019-ARCE-SFE,Distribuidora,4032024, Multa,2019,730693.29
Energisa PB,PB,Energisa,Energisa,Comercial,1909072.92,0001/2019-ARPB-SFE,Distribuidora,1906050, Multa,2019,1904284.28
Neoenergia Pernambuco,PE,NeoEnergia,NeoEnergia,Comercial,11557861.74,0001/2019-ARPE-SFE,Distribuidora,4171038, Advertência / Multa,2019,5889900.61
EDP SP,SP,EDP,EDP,Comercial,1350256.68,0001/2019-ARSESP-SFE,Distribuidora,2210001, Multa,2019,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,18690.19,0001/2019-ARSESP-SFG,Não Distribuidora,, Multa,2019,0.0
Energisa Minas Rio,MG,Energisa,Energisa,Supervisão Econômica e Financeira,0.0,0001/2019-SFF,Distribuidora,616936, Advertência,2019,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,122977.13,0001/2019-SFG,Não Distribuidora,, Multa,2019,122977.13
Energisa MS,MS,Energisa,Energisa,Técnica,3404434.29,0001/2020-AGEPAN-SFE,Distribuidora,1168540, Multa,2020,0.0
Energisa MT,MT,Energisa,Energisa,Comercial,169807.89,0001/2020-AGER/ MT-SFE,Distribuidora,1713620, Multa,2020,0.0
,,,Não mapeado,1.02.13 - Procedimento Ocorrências Graves e Indisponibilidade Prolongada,9254.47,0001/2020-AGER/ MT-SFG,Não Distribuidora,, Multa,2020,0.0
