artigo_846,descricao_846,artigo_63,descricao_63
Art. 13. Inciso VI,VI - praticar tarifas de uso ou conexão na transmissão ou na distribuição em valores superiores aos estabelecidos;,Art. 7°. Inciso II,"II - praticar valores de tarifas de energia elétrica superiores àqueles autorizados pela ANEEL, observado o disposto no § 2º do art. 15 da Lei nº 9.427, de 26 de dezembro de 1996;"
"Art. 12. Inciso I, Alínea ""a""","I - descumprir às disposições legais, regulamentares e contratuais relativas: a) aos níveis de qualidade dos serviços de energia elétrica ou do atendimento por meio de central de teleatendimento; ",Art. 6°. Inciso I,"I - descumprir as disposições legais, regulamentares e contratuais relativas aos níveis de qualidade dos serviços e do fornecimento de energia elétrica;"
Art. 13. Inciso VI,VI - praticar tarifas de uso ou conexão na transmissão ou na distribuição em valores superiores aos estabelecidos;,Art. 7°. Inciso VI,VI - praticar tarifas de uso e conexão na transmissão e na distribuição não compatíveis com os critérios de acesso e valoração estabelecidos;
Art. 10. Inciso XVIII,XVIII - realizar leitura ou faturamento em desacordo com a legislação;,Art. 5°. Inciso III,III - realizar leitura e faturamento em desconformidade com as disposições legais e regulamentares;
Art. 11. Inciso V,VII - deixar de cumprir ao disposto nos Procedimentos de Distribuição;,Art. 6°. Inciso VII,"VII - deixar de encaminhar à ANEEL, nos prazos estabelecidos, informações econômicas e financeiras definidas nas disposições legais, regulamentares e contratuais,"
Art. 10. Inciso XX,"XX - deixar de enviar ou disponibilizar à ANEEL informações ou documentos, nos prazos e nas condições estabelecidas na legislação.",Art. 4°. Inciso XVIII,XVIII - deixar de prestar informações solicitadas pela ANEEL no prazo estabelecido;
Art. 9. Inciso III,"III - deixar de prestar informações aos consumidores ou usuários, quando solicitado ou conforme determinado nas disposições legais, regulamentares ou contratuais;",Art. 3°. Inciso III,"III - deixar de prestar informações aos consumidores, quando solicitado ou conforme determinado pela legislação e regulamentos ou pelo contrato de concessão;"
Art. 11. inciso XIII,XIII - deixar de cumprir ao disposto nos contratos de permissão ou concessão;,,
Art. 11. Inciso X,X - deixar de cumprir ao disposto nas Condições Gerais de Fornecimento de Energia Elétrica e nas Regras de Prestação do Serviço Público de Distribuição de Energia Elétrica; (Redação dada pela Resolução Normativa nº 1000/2021),,
Art. 12. Inciso IV,"IV - descumprir aos prazos estabelecidos nos atos de delegação de concessões, permissões ou autorizações para implantar instalações de energia elétrica;",Art. 6°. Inciso XII,"XII - descumprir os prazos estabelecidos nos atos de outorga de concessões, permissões ou autorizações de implantação de instalações de produção, transmissão ou distribuição de energia elétrica;"
Art. 11. Inciso X,X - deixar de cumprir ao disposto nas Condições Gerais de Fornecimento de Energia Elétrica e nas Regras de Prestação do Serviço Público de Distribuição de Energia Elétrica; (Redação dada pela Resolução Normativa nº 1000/2021),Art. 6°. Inciso XXIII,"XXIII - descumprir as disposições regulamentares estabelecidas nas Condições Gerais de Fornecimento de Energia Elétrica, não especificadas nos arts. 3º, 4º, 5º e 7º (Redação acrescida pela Resolução Normativa nº 479/2012)"
Art. 11. Inciso X,X - deixar de cumprir ao disposto nas Condições Gerais de Fornecimento de Energia Elétrica e nas Regras de Prestação do Serviço Público de Distribuição de Energia Elétrica; (Redação dada pela Resolução Normativa nº 1000/2021),Art. 5º. Inciso II,"II - descumprir obrigações regulamentares ou contratuais de manter registro atualizado das reclamações e solicitações dos consumidores, com anotação da data e do motivo, bem como de informar ao interessado, no prazo estabelecido, as providências adotadas;"
Art. 12. Inciso VII,"VII - deixar de encaminhar, para exame e aprovação da ANEEL, nas hipóteses e condições contratuais, legais ou regulamentares, ou implementar, antes da anuência prévia da Agência, quando assim exigido:",,
